City,Cloudiness,Country,Date,Humidity,Max Temp,Lat,Long,Wind Speed
kalach-na-donu,0,RU,1607708561,78,12.2,48.69,43.53,15.66
los llanos de aridane,75,ES,1607708562,82,68.0,28.66,-17.92,9.17
sulphur springs,90,US,1607708562,100,60.8,33.14,-95.6,8.05
hobart,90,AU,1607708321,87,51.8,-42.88,147.33,2.24
batagay,95,RU,1607708562,82,-32.06,67.63,134.63,2.57
cody,90,US,1607708556,86,26.6,44.53,-109.06,2.51
carutapera,11,BR,1607708563,59,86.81,-1.2,-46.02,10.94
novyy urengoy,100,RU,1607708564,93,1.83,66.08,76.63,15.88
aljezur,100,PT,1607708564,89,61.88,37.32,-8.8,15.61
dikson,100,RU,1607708565,92,-3.19,73.51,80.55,27.74
itoman,75,JP,1607708566,83,69.8,26.12,127.67,27.51
avarua,67,CK,1607708566,83,78.8,-21.21,-159.78,9.17
cervo,100,ES,1607708566,92,55.0,43.67,-7.41,8.99
khuzhir,98,RU,1607708566,87,9.86,53.19,107.34,14.5
santa vitoria do palmar,62,BR,1607708545,35,90.75,-33.52,-53.37,11.05
kemijarvi,67,FI,1607708567,97,19.44,66.71,27.43,2.75
araure,0,VE,1607708568,82,68.0,9.56,-69.21,9.17
torbay,90,CA,1607708568,93,37.0,47.67,-52.73,18.34
hwange,97,ZW,1607708568,61,79.14,-18.37,26.5,4.68
svetlogorsk,100,BY,1607708465,95,25.0,52.63,29.73,12.17
ukiah,90,US,1607708489,86,41.0,39.15,-123.21,3.04
upernavik,100,GL,1607708220,87,21.25,72.79,-56.15,7.34
nikolskoye,90,RU,1607708569,92,30.2,59.7,30.79,8.95
kathu,20,TH,1607708570,73,86.0,7.92,98.33,1.12
georgetown,40,MY,1607708572,94,78.8,5.41,100.34,3.36
katsuura,75,JP,1607707984,76,51.8,35.13,140.3,6.93
gwembe,100,ZM,1607708572,88,69.1,-16.5,27.61,3.65
kapaa,40,US,1607708233,94,71.6,22.08,-159.32,5.82
kabalo,80,CD,1607708572,92,71.64,-6.05,26.92,2.19
sakakah,0,SA,1607708448,44,59.0,29.97,40.21,6.93
bukachacha,18,RU,1607708574,85,-8.32,52.98,116.92,3.0
maravatio,13,MX,1607708574,53,73.0,19.9,-100.45,7.0
bauta,40,CU,1607708574,53,75.2,22.98,-82.55,6.93
pachmarhi,84,IN,1607708575,74,58.96,22.47,78.43,1.19
taltal,20,CL,1607708575,54,67.86,-25.4,-70.48,6.85
orissaare,100,EE,1607708576,81,39.0,58.56,23.08,1.99
mahebourg,40,MU,1607708441,73,75.2,-20.41,57.7,11.41
mafinga,80,TZ,1607708577,63,72.34,-7.25,35.07,4.45
kitakami,69,JP,1607708578,90,42.58,39.28,141.12,1.63
lavrentiya,100,RU,1607708578,93,10.71,65.58,-171.0,19.13
ribeira grande,40,PT,1607708232,82,66.2,38.52,-28.7,16.11
moyale,77,KE,1607708578,41,70.68,3.52,39.06,8.19
kieta,13,PG,1607708012,76,78.71,-6.22,155.63,4.29
yukhnov,17,RU,1607708580,96,19.51,54.74,35.23,7.78
ambilobe,48,MG,1607708520,80,78.08,-13.2,49.05,0.92
montepuez,100,MZ,1607708580,87,73.08,-13.13,39.0,4.99
saskylakh,100,RU,1607708188,84,-27.27,71.92,114.08,5.97
gornopravdinsk,0,RU,1607708580,95,9.64,60.05,69.9,4.5
ponta do sol,40,PT,1607707997,72,66.2,32.67,-17.1,8.05
dauriya,0,RU,1607708582,83,-14.48,49.93,116.87,3.33
ostrovnoy,96,RU,1607708194,96,27.01,68.05,39.51,14.32
pevek,14,RU,1607708582,81,7.75,69.7,170.31,6.67
touros,40,BR,1607708429,58,86.0,-5.2,-35.46,17.22
karoi,100,ZW,1607708583,88,67.68,-16.81,29.69,1.07
tokur,100,RU,1607708584,91,-7.58,53.13,132.9,3.83
sovetskiy,2,RU,1607708584,87,16.79,61.36,63.58,7.14
casablanca,75,MA,1607708407,88,64.4,33.59,-7.62,9.17
narsaq,20,GL,1607708585,43,15.8,60.92,-46.05,5.28
longyearbyen,75,SJ,1607708586,71,8.6,78.22,15.64,3.36
sorland,0,NO,1607708586,73,41.0,67.67,12.69,8.05
bambous virieux,40,MU,1607708586,73,77.0,-20.34,57.76,11.41
tandalti,57,SD,1607708587,19,82.8,13.02,31.87,9.57
lebu,23,CL,1607708587,60,59.63,-37.62,-73.65,9.1
ponta delgada,20,PT,1607708588,88,64.4,37.73,-25.67,12.75
atar,47,MR,1607708588,16,75.16,20.52,-13.05,10.56
cordoba,0,AR,1607708589,22,84.0,-31.41,-64.18,12.75
cabo san lucas,20,MX,1607708294,78,75.99,22.89,-109.91,5.82
bonavista,100,CA,1607708248,100,37.0,48.65,-53.11,5.82
khilok,73,RU,1607708590,88,-7.08,51.37,110.47,3.22
aitape,55,PG,1607708590,84,78.91,-3.14,142.35,3.62
codrington,39,AU,1607708591,90,46.65,-38.27,141.97,9.19
kalevala,16,RU,1607708592,97,18.57,65.2,31.17,3.0
tuatapere,95,NZ,1607708592,81,46.99,-46.13,167.68,18.01
vila velha,40,BR,1607708592,78,82.99,-20.33,-40.29,8.05
port moresby,20,PG,1607708349,94,75.2,-9.44,147.18,5.82
thompson,40,CA,1607708356,76,-11.2,55.74,-97.86,2.24
birecik,75,TR,1607708593,70,46.4,37.03,37.99,4.85
mezen,94,RU,1607708593,96,16.75,65.85,44.24,6.55
olafsvik,100,IS,1607708423,86,39.72,64.89,-23.71,26.49
erzin,100,TR,1607708594,77,57.99,36.96,36.2,5.01
faanui,65,PF,1607708594,76,79.54,-16.48,-151.75,12.88
cockburn town,75,TC,1607708485,65,78.8,21.46,-71.14,13.87
pak phanang,82,TH,1607708595,81,78.82,8.35,100.2,6.96
artvin,0,TR,1607708482,35,55.4,41.17,41.83,23.04
pangoa,63,PE,1607708595,65,82.45,-12.12,-73.0,4.45
tynda,73,RU,1607708596,80,-27.96,55.17,124.72,2.8
kloulklubed,75,PW,1607708207,88,78.8,7.04,134.26,4.7
usinsk,100,RU,1607708597,95,8.89,65.99,57.53,14.94
ozernovskiy,44,RU,1607708597,91,22.91,51.5,156.52,2.04
tulagi,20,SB,1607708598,100,73.4,-9.1,160.15,9.4
moron,0,AR,1607708598,26,82.99,-34.65,-58.62,12.75
anadyr,75,RU,1607708598,72,14.0,64.75,177.48,15.66
bayan,0,CN,1607708599,87,-4.32,46.08,127.4,5.88
tarata,20,BO,1607708599,17,87.8,-17.62,-66.02,9.17
taoudenni,0,ML,1607708599,23,67.95,22.68,-3.98,8.93
palana,100,RU,1607708600,90,19.18,59.12,159.97,5.59
hambantota,10,LK,1607708402,77,76.68,6.12,81.12,13.51
phetchaburi,36,TH,1607708600,93,73.99,12.97,99.58,3.44
svetlyy,90,RU,1607708601,95,33.8,54.67,20.13,8.95
locri,75,IT,1607708601,81,57.99,38.24,16.26,8.05
santa maria,0,BR,1607708356,29,98.6,-29.68,-53.81,17.22
pangai,20,TO,1607708601,83,78.8,-19.8,-174.35,16.11
atakpame,34,TG,1607708432,37,89.19,7.53,1.13,4.59
kautokeino,98,NO,1607708602,97,27.14,69.01,23.04,12.84
sultanpur,99,IN,1607708602,43,72.23,26.27,82.07,5.1
katherine,90,AU,1607708603,78,78.8,-14.47,132.27,8.05
champua,0,IN,1607708603,50,63.72,22.08,85.67,1.48
grindavik,90,IS,1607708603,86,41.0,63.84,-22.43,11.41
zambezi,89,ZM,1607708604,91,68.7,-13.54,23.1,3.11
birao,0,CF,1607708604,24,81.37,10.28,22.79,5.95
kidal,27,ML,1607708605,16,81.5,18.44,1.41,11.1
gorontalo,0,ID,1607708606,88,76.24,0.54,123.06,2.53
chapais,90,CA,1607708607,86,28.4,49.78,-74.85,5.82
burnie,3,AU,1607708607,96,52.0,-41.07,145.92,4.0
vardo,0,NO,1607708607,79,26.6,70.37,31.11,11.32
terrak,0,NO,1607708607,59,37.4,65.09,12.37,17.22
yulara,90,AU,1607708608,47,77.0,-25.24,130.99,18.34
ciudad bolivar,2,VE,1607708478,36,91.36,8.12,-63.55,7.16
coruripe,1,BR,1607708609,63,82.54,-10.13,-36.18,14.58
luba,20,GQ,1607708609,83,82.4,3.46,8.55,9.17
matagami,90,CA,1607708610,100,21.2,49.75,-77.63,12.75
luderitz,0,NA,1607708610,78,63.39,-26.65,15.16,15.21
iqaluit,90,CA,1607708364,85,23.0,63.75,-68.51,11.41
klaksvik,100,FO,1607708611,93,44.6,62.23,-6.59,27.51
berlevag,75,NO,1607708367,86,32.0,70.86,29.09,12.75
half moon bay,1,US,1607708611,66,52.0,37.46,-122.43,9.93
poum,100,NC,1607708611,82,78.55,-20.23,164.02,18.03
srednekolymsk,99,RU,1607708612,84,-28.21,67.45,153.68,4.5
nantucket,90,US,1607708326,71,51.8,41.28,-70.1,10.29
kahului,20,US,1607708441,77,73.0,20.89,-156.47,6.93
banjarmasin,75,ID,1607708613,94,75.2,-3.32,114.59,4.7
jalu,0,LY,1607708613,33,60.28,29.03,21.55,9.75
roros,75,NO,1607708613,79,26.6,62.57,11.38,8.05
goderich,99,CA,1607708613,81,42.8,43.75,-81.72,5.82
asau,100,RO,1607708349,89,37.0,46.43,26.4,3.38
san fernando,75,PH,1607708349,88,78.8,15.03,120.69,4.7
talnakh,100,RU,1607708565,75,-13.0,69.49,88.4,22.37
ketchikan,1,US,1607708614,100,30.2,55.34,-131.65,3.36
waynesboro,1,US,1607708434,44,62.01,38.07,-78.89,8.05
ekhabi,100,RU,1607708615,96,9.19,53.51,142.97,4.85
port macquarie,90,AU,1607708615,100,60.8,-31.43,152.92,6.93
san patricio,90,US,1607708615,78,73.99,28.02,-97.52,10.29
floro,0,NO,1607708615,56,42.8,61.6,5.03,10.29
otofuke,0,JP,1607708616,93,29.77,42.99,143.2,2.33
oranjemund,0,NA,1607708616,80,64.11,-28.55,16.43,9.46
pisco,0,PE,1607708617,73,71.6,-13.7,-76.22,12.75
kavieng,94,PG,1607708519,78,82.6,-2.57,150.8,11.39
mar del plata,20,AR,1607708617,44,77.0,-38.0,-57.56,11.41
pemangkat,92,ID,1607708618,83,79.68,1.17,108.97,5.53
lisakovsk,0,KZ,1607708619,94,8.24,52.54,62.49,5.59
manicore,100,BR,1607708619,81,78.69,-5.81,-61.3,2.26
basco,5,PH,1607708619,89,77.27,20.45,121.97,16.69
aksu,0,CN,1607708619,93,21.85,41.12,80.26,1.61
kozan,75,TR,1607708620,93,57.99,37.46,35.82,9.17
yellowknife,90,CA,1607708620,83,-2.99,62.46,-114.35,5.82
inhambane,20,MZ,1607708621,83,78.8,-23.86,35.38,12.75
havre-saint-pierre,1,CA,1607708250,79,28.4,50.23,-63.6,10.29
kropotkin,31,RU,1607708621,81,36.43,45.44,40.58,18.59
matara,36,LK,1607708577,82,76.69,5.95,80.54,3.69
ciudad guayana,5,VE,1607708622,63,87.01,8.35,-62.65,3.0
darhan,88,MN,1607708623,89,-0.99,49.49,105.92,0.56
okhotsk,98,RU,1607708211,82,-9.36,59.38,143.3,19.69
pemba,90,MZ,1607708623,83,82.4,-12.97,40.52,12.75
kodiak,90,US,1607708624,69,37.4,57.79,-152.41,14.99
nioro,1,GM,1607708624,16,94.86,13.35,-15.75,4.7
prainha,30,BR,1607708624,32,93.47,-1.8,-53.48,8.05
najran,0,SA,1607708624,25,66.2,17.49,44.13,6.93
salta,20,AR,1607708536,39,95.0,-24.79,-65.41,10.29
naze,75,JP,1607708454,100,64.4,28.37,129.48,17.22
desaguadero,1,PE,1607708625,33,60.4,-16.57,-69.04,6.13
mangan,41,IN,1607708625,41,56.39,27.52,88.53,2.17
mumbwa,87,ZM,1607708625,88,69.42,-14.98,27.06,4.38
brae,75,GB,1607708626,81,44.6,60.4,-1.35,27.51
havelock,75,US,1607708626,72,66.99,34.88,-76.9,9.17
mnogovershinnyy,100,RU,1607708626,98,12.29,53.94,139.92,8.55
kiama,87,AU,1607708626,76,63.0,-34.68,150.87,8.7
port hawkesbury,90,CA,1607708627,85,33.01,45.62,-61.35,8.05
bandarbeyla,49,SO,1607708627,61,75.56,9.49,50.81,22.19
sitangkai,2,PH,1607708627,73,83.84,4.66,119.39,6.76
isangel,100,VU,1607708535,82,78.58,-19.55,169.27,15.68
yinchuan,60,CN,1607708628,85,27.16,38.47,106.27,4.34
honiara,20,SB,1607708624,100,73.4,-9.43,159.95,4.07
salalah,0,OM,1607708628,32,78.8,17.02,54.09,9.17
waingapu,100,ID,1607708628,78,80.44,-9.66,120.26,4.0
te anau,80,NZ,1607708628,86,40.69,-45.42,167.72,2.24
deputatskiy,96,RU,1607708279,85,-30.95,69.3,139.9,3.27
tonshayevo,0,RU,1607708629,95,11.28,57.74,47.01,4.45
straumen,0,NO,1607708629,59,37.4,63.87,11.3,10.29
chulym,99,RU,1607708629,93,1.87,55.1,80.96,9.8
pacific grove,75,US,1607708113,71,51.8,36.62,-121.92,4.7
batemans bay,89,AU,1607708630,92,57.0,-35.72,150.18,2.77
douglas,90,US,1607708630,94,37.0,41.3,-96.17,16.11
subkhankulovo,0,RU,1607708630,89,7.83,54.56,53.81,3.04
tamiahua,31,MX,1607708630,68,76.82,21.27,-97.45,6.53
luancheng,90,CN,1607708631,100,26.6,37.88,114.65,2.24
manta,75,EC,1607708340,74,80.6,-0.95,-80.73,9.17
nelson bay,75,AU,1607708612,59,66.2,-32.72,152.15,13.87
vanavara,65,RU,1607708631,81,-36.02,60.34,102.28,3.4
san quintin,30,MX,1607708527,62,60.76,30.48,-115.95,8.14
santarem,40,BR,1607708632,59,89.6,-2.44,-54.71,11.41
mabaruma,8,GY,1607708632,72,82.83,8.2,-59.78,5.84
leningradskiy,0,RU,1607708329,86,0.07,69.38,178.42,11.01
kirs,58,RU,1607708633,94,13.39,59.34,52.24,6.8
san angelo,1,US,1607708633,43,71.01,31.46,-100.44,14.99
sayyan,10,YE,1607708633,51,48.15,15.17,44.32,1.16
tiksi,79,RU,1607708489,84,-30.64,71.69,128.87,8.68
tromso,0,NO,1607708433,92,30.0,69.65,18.96,12.75
guider,78,CM,1607708634,16,84.67,9.93,13.95,6.49
port lincoln,100,AU,1607708634,69,65.53,-34.73,135.87,13.47
huarmey,100,PE,1607708635,64,74.97,-10.07,-78.15,12.15
dryden,90,CA,1607708635,79,21.2,49.78,-92.75,3.36
aykhal,0,RU,1607708601,65,-34.6,66.0,111.5,6.71
ascope,20,PE,1607708635,82,66.2,-7.71,-79.11,12.75
severnyy,0,RU,1607708635,79,19.4,50.68,36.55,13.42
thinadhoo,51,MV,1607708378,73,82.35,0.53,72.93,10.29
rudbar,0,AF,1607708636,46,50.49,30.15,62.6,2.84
cayenne,75,GF,1607708636,62,87.8,4.93,-52.33,14.99
surt,76,LY,1607708636,53,62.35,31.21,16.59,18.79
erenhot,74,CN,1607708637,93,6.39,43.65,111.98,4.59
chernivtsi,100,UA,1607708637,99,36.0,48.29,25.94,14.72
coihaique,90,CL,1607708637,71,51.8,-45.58,-72.07,4.7
calama,0,CL,1607708637,13,73.4,-22.47,-68.93,25.28
riyadh,0,SA,1607708395,44,60.8,24.69,46.72,6.69
sistranda,0,NO,1607708638,60,39.2,63.73,8.83,26.4
abapo,0,BO,1607708638,30,93.87,-18.83,-63.47,16.44
fengzhen,1,CN,1607708638,90,13.98,40.44,113.15,2.98
nyandoma,100,RU,1607708638,98,20.7,61.67,40.2,7.78
costinesti,75,RO,1607708639,93,46.4,43.95,28.63,9.17
port hardy,75,CA,1607708512,100,42.8,50.7,-127.42,2.24
upington,0,ZA,1607708640,17,86.0,-28.45,21.26,13.87
necochea,15,AR,1607708214,47,72.0,-38.55,-58.74,19.17
badou,32,TG,1607708640,63,81.59,7.58,0.6,2.86
namibe,27,AO,1607708476,72,67.91,-15.2,12.15,10.45
meulaboh,100,ID,1607708641,85,77.18,4.14,96.13,3.47
rio gallegos,40,AR,1607708641,42,62.6,-51.62,-69.22,12.75
jalingo,39,NG,1607708641,25,85.44,8.88,11.37,2.59
severo-kurilsk,94,RU,1607708642,92,26.01,50.68,156.12,7.09
bereda,100,ES,1607708642,96,51.01,43.27,-7.54,10.0
mishelevka,100,RU,1607708642,93,1.08,52.86,103.17,2.46
bouar,8,CF,1607708642,24,77.41,5.93,15.6,4.72
peleduy,98,RU,1607708642,87,-11.97,59.63,112.74,2.08
damara,20,CF,1607708643,70,86.0,4.96,18.7,4.7
orchard homes,90,US,1607708643,92,21.2,46.86,-114.05,0.54
gaoua,26,BF,1607708643,24,89.31,10.3,-3.25,3.27
beringovskiy,100,RU,1607708310,96,21.24,63.05,179.32,31.34
sioux lookout,90,CA,1607708541,73,21.2,50.1,-91.92,2.24
asilah,75,MA,1607708644,88,64.4,35.47,-6.03,17.22
valparaiso,0,CL,1607708385,38,77.0,-33.04,-71.63,11.41
de aar,0,ZA,1607708644,19,76.19,-30.65,24.01,12.41
talas,75,TR,1607708645,86,39.2,38.69,35.55,3.74
gat,82,IL,1607708642,43,64.0,31.61,34.76,1.99
pinhao,49,BR,1607708645,51,78.69,-25.7,-51.66,4.85
constitucion,0,CL,1607708645,51,64.27,-35.33,-72.42,19.89
redmond,90,US,1607708552,91,43.0,47.67,-122.12,4.18
tamandare,4,BR,1607708646,63,81.88,-8.76,-35.1,11.05
zinder,0,NE,1607708646,18,91.4,13.81,8.99,4.7
novikovo,13,RU,1607708646,89,21.38,51.15,37.89,11.9
puerto quijarro,25,BO,1607708646,28,99.34,-17.78,-57.77,7.43
labuhan,100,ID,1607708647,86,77.83,-6.88,112.21,6.17
parana,65,AR,1607708647,27,81.0,-31.73,-60.52,10.0
omaruru,0,NA,1607708647,40,67.87,-21.43,15.93,10.47
lasa,75,IT,1607708648,92,37.99,46.62,10.7,4.7
la ronge,97,CA,1607708648,92,17.6,55.1,-105.28,1.12
krasnoselkup,100,RU,1607708648,88,-12.33,65.7,82.47,14.56
hay river,100,CA,1607708003,84,5.0,60.82,-115.8,4.7
ulladulla,90,AU,1607708649,62,59.0,-35.35,150.47,9.17
mkuranga,40,TZ,1607708650,78,82.4,-7.12,39.21,11.41
hobyo,1,SO,1607708650,62,78.78,5.35,48.53,18.7
talaya,100,RU,1607708650,88,-9.92,61.38,152.75,3.02
chardara,3,KZ,1607708650,89,32.54,41.25,67.97,7.74
arlit,56,NE,1607708650,15,82.76,18.74,7.39,6.33
tazovskiy,100,RU,1607708478,92,-5.89,67.47,78.7,15.61
teguldet,58,RU,1607708651,92,-4.05,57.31,88.17,4.41
narasannapeta,0,IN,1607708651,78,69.53,18.42,84.05,3.98
rajanpur,28,PK,1607708651,85,53.46,29.1,70.33,5.08
vila franca do campo,20,PT,1607708570,88,64.4,37.72,-25.43,12.75
sanandaj,41,IR,1607708504,74,37.76,35.31,46.99,2.57
caravelas,29,BR,1607708652,65,83.48,-17.71,-39.25,12.75
sant feliu de guixols,57,ES,1607708652,32,54.0,41.78,3.03,2.15
gatton,90,AU,1607708653,93,62.6,-27.55,152.28,5.82
bardiyah,0,LY,1607708653,56,60.12,31.76,25.09,12.35
roma,1,US,1607708645,65,46.4,43.21,-75.46,6.93
altay,1,CN,1607708653,65,-2.4,47.87,88.12,6.02
wuwei,98,CN,1607708654,88,23.36,37.93,102.64,1.25
marystown,92,CA,1607708654,78,37.54,47.17,-55.15,17.67
husavik,75,IS,1607708621,80,41.0,66.04,-17.34,11.41
fare,70,PF,1607708654,74,80.6,-16.7,-151.02,13.6
syracuse,20,IT,1607708654,76,59.0,37.09,15.28,13.87
mandali,0,IQ,1607708655,59,57.96,33.75,45.55,5.03
lata,90,PT,1607708655,100,62.01,40.16,-8.33,12.75
praia da vitoria,20,PT,1607708468,77,68.0,38.73,-27.07,10.58
fort nelson,75,CA,1607708646,84,-2.2,58.81,-122.7,2.24
dingle,59,PH,1607708656,90,75.87,11.0,122.67,5.53
paka,85,MY,1607708656,100,75.2,4.64,103.44,1.12
bulgan,100,MN,1607708656,86,0.43,48.81,103.53,3.49
dahanu,97,IN,1607708657,77,74.88,19.97,72.73,5.97
kangaatsiaq,100,GL,1607708657,96,16.56,68.31,-53.46,11.68
tura,0,IN,1607708657,79,59.7,25.52,90.22,3.13
vanimo,79,PG,1607708657,82,79.52,-2.67,141.3,5.7
mishan,1,CN,1607708658,91,3.58,45.55,131.88,4.97
ahipara,81,NZ,1607708658,76,57.33,-35.17,173.17,10.45
leua,41,SK,1607708658,94,37.0,48.22,18.61,4.0
nichinan,92,JP,1607708658,80,55.62,31.6,131.37,4.12
marsabit,96,KE,1607708659,63,69.57,2.33,37.99,8.79
panguma,83,SL,1607708659,91,76.95,8.18,-11.13,2.3
komsomolskiy,61,UZ,1607708331,86,30.2,40.43,71.72,2.24
banepa,75,NP,1607708659,87,55.4,27.63,85.52,2.24
troitsko-pechorsk,88,RU,1607708660,94,13.82,62.71,56.2,6.13
bengkulu,98,ID,1607708660,88,74.95,-3.8,102.27,5.55
purificacion,92,CO,1607708660,61,85.59,3.86,-74.93,0.63
nishihara,90,JP,1607708660,82,69.8,26.18,127.76,18.34
belmonte,20,BR,1607708663,66,86.0,-15.86,-38.88,11.41
the valley,40,AI,1607708663,74,84.2,18.22,-63.06,13.87
santa isabel do rio negro,74,BR,1607708663,65,87.89,-0.41,-65.02,3.76
esperance,90,AU,1607708664,82,64.4,-33.87,121.9,12.75
douentza,38,ML,1607708664,15,83.39,15.0,-2.95,8.95
noumea,100,NC,1607708664,100,73.4,-22.28,166.46,3.36
margate,49,GB,1607708568,89,48.99,51.38,1.39,1.99
